BRANDI,0.055,7.534,0
BLANCHE,0.055,7.589,1
SANDY,0.055,7.644,2
ROSIE,0.055,7.699,3
JOANNA,0.055,7.754,4
IRIS,0.055,7.808,5
EUNICE,0.054,7.863,6
ANGIE,0.054,7.917,7
INEZ,0.053,7.970,8
LYNDA,0.053,8.023,9
MADELINE,0.052,8.075,0
AMELIA,0.052,8.127,1
ALBERTA,0.052,8.179,2
GENEVIEVE,0.051,8.230,3
MONIQUE,0.051,8.282,4
JODI,0.051,8.333,5
JANIE,0.051,8.385,6
MAGGIE,0.051,8.436,7
KAYLA,0.051,8.487,8
SONYA,0.051,8.538,9
JAN,0.051,8.589,0
LEE,0.051,8.641,1
KRISTINE,0.051,8.691,2
CANDACE,0.051,8.742,3
FANNIE,0.050,8.792,4
MARYANN,0.050,8.843,5
OPAL,0.050,8.893,6
ALISON,0.050,8.943,7
YVETTE,0.050,8.993,8
MELODY,0.050,9.043,9
LUZ,0.049,9.092,0
SUSIE,0.049,9.142,1
OLIVIA,0.049,9.191,2
FLORA,0.049,9.240,3
SHELLEY,0.049,9.288,4
KRISTY,0.048,9.337,5
MAMIE,0.048,9.385,6
LULA,0.048,9.433,7
LOLA,0.048,9.482,8
VERNA,0.048,9.530,9
BEULAH,0.048,9.577,0
ANTOINETTE,0.048,9.625,1
CANDICE,0.046,9.671,2
JUANA,0.046,9.717,3
JEANNETTE,0.046,9.763,4
PAM,0.046,9.809,5
KELLI,0.046,9.854,6
HANNAH,0.045,9.899,7
WHITNEY,0.045,9.944,8
BRIDGET,0.045,9.989,9
KARLA,0.044,0.034,0
CELIA,0.044,0.078,1
LATOYA,0.043,0.121,2
PATTY,0.043,0.165,3
SHELIA,0.043,0.208,4
GAYLE,0.043,0.251,5
DELLA,0.043,0.294,6
VICKY,0.043,0.336,7
LYNNE,0.043,0.379,8
SHERI,0.042,0.421,9
MARIANNE,0.042,0.463,0
KARA,0.041,0.504,1
JACQUELYN,0.041,0.544,2
ERMA,0.041,0.585,3
BLANCA,0.041,0.626,4
MYRA,0.040,0.666,5
LETICIA,0.040,0.706,6
PAT,0.040,0.746,7
KRISTA,0.040,0.786,8
ROXANNE,0.040,0.826,9
ANGELICA,0.039,0.865,0
JOHNNIE,0.039,0.905,1
ROBYN,0.039,0.944,2
FRANCIS,0.039,0.983,3
ADRIENNE,0.039,1.022,4
ROSALIE,0.039,1.061,5
ALEXANDRA,0.039,1.100,6
BROOKE,0.039,1.139,7
BETHANY,0.039,1.177,8
SADIE,0.039,1.216,9
BERNADETTE,0.039,1.254,0
TRACI,0.038,1.293,1
JODY,0.038,1.331,2
KENDRA,0.038,1.369,3
JASMINE,0.038,1.407,4
NICHOLE,0.038,1.445,5
RACHAEL,0.038,1.483,6
CHELSEA,0.038,1.520,7
MABLE,0.038,1.558,8
ERNESTINE,0.038,1.596,9
MURIEL,0.038,1.634,0
MARCELLA,0.037,1.671,1
ELENA,0.037,1.708,2
KRYSTAL,0.037,1.745,3
ANGELINA,0.037,1.781,4
NADINE,0.036,1.818,5
KARI,0.036,1.853,6
ESTELLE,0.036,1.889,7
DIANNA,0.036,1.925,8
PAULETTE,0.036,1.961,9
LORA,0.036,1.996,0
MONA,0.035,2.032,1
DOREEN,0.035,2.067,2
ROSEMARIE,0.035,2.102,3
ANGEL,0.035,2.137,4
DESIREE,0.035,2.172,5
ANTONIA,0.035,2.207,6
HOPE,0.034,2.241,7
GINGER,0.034,2.274,8
JANIS,0.034,2.308,9
BETSY,0.034,2.342,0
CHRISTIE,0.034,2.375,1
FREDA,0.034,2.409,2
MERCEDES,0.033,2.442,3
MEREDITH,0.033,2.475,4
LYNETTE,0.033,2.508,5
TERI,0.033,2.541,6
CRISTINA,0.033,2.573,7
EULA,0.033,2.606,8
LEIGH,0.032,2.638,9
MEGHAN,0.032,2.670,0
SOPHIA,0.032,2.702,1
ELOISE,0.032,2.734,2
ROCHELLE,0.032,2.766,3
GRETCHEN,0.032,2.798,4
CECELIA,0.032,2.829,5
RAQUEL,0.031,2.860,6
HENRIETTA,0.031,2.891,7
ALYSSA,0.031,2.922,8
JANA,0.031,2.953,9
KELLEY,0.031,2.983,0
GWEN,0.031,3.014,1
KERRY,0.031,3.044,2
JENNA,0.030,3.075,3
TRICIA,0.030,3.105,4
LAVERNE,0.030,3.135,5
OLIVE,0.030,3.165,6
ALEXIS,0.030,3.195,7
TASHA,0.030,3.225,8
SILVIA,0.029,3.254,9
ELVIRA,0.029,3.284,0
CASEY,0.029,3.313,1
DELIA,0.029,3.342,2
SOPHIE,0.029,3.372,3
KATE,0.029,3.401,4
PATTI,0.029,3.430,5
LORENA,0.029,3.459,6
KELLIE,0.029,3.488,7
SONJA,0.029,3.517,8
LILA,0.029,3.546,9
LANA,0.029,3.575,0
DARLA,0.029,3.604,1
MAY,0.029,3.633,2
MINDY,0.029,3.661,3
ESSIE,0.029,3.690,4
MANDY,0.029,3.719,5
LORENE,0.028,3.747,6
ELSA,0.028,3.775,7
JOSEFINA,0.028,3.804,8
JEANNIE,0.028,3.832,9
MIRANDA,0.028,3.860,0
DIXIE,0.028,3.888,1
LUCIA,0.028,3.916,2
MARTA,0.028,3.944,3
FAITH,0.028,3.972,4
LELA,0.028,3.999,5
JOHANNA,0.028,4.027,6
SHARI,0.028,4.055,7
CAMILLE,0.028,4.082,8
TAMI,0.027,4.110,9
SHAWNA,0.027,4.137,0
ELISA,0.027,4.164,1
EBONY,0.027,4.192,2
MELBA,0.027,4.219,3
ORA,0.027,4.246,4
NETTIE,0.027,4.273,5
TABITHA,0.027,4.300,6
OLLIE,0.027,4.327,7
JAIME,0.027,4.354,8
WINIFRED,0.027,4.381,9
KRISTIE,0.027,4.408,0
MARINA,0.027,4.435,1
ALISHA,0.027,4.462,2
AIMEE,0.027,4.488,3
RENA,0.027,4.515,4
MYRNA,0.026,4.541,5
MARLA,0.026,4.567,6
TAMMIE,0.026,4.593,7
LATASHA,0.026,4.619,8
BONITA,0.026,4.645,9
PATRICE,0.026,4.671,0
RONDA,0.026,4.697,1
SHERRIE,0.026,4.722,2
ADDIE,0.026,4.748,3
FRANCINE,0.025,4.773,4
DELORIS,0.025,4.799,5
STACIE,0.025,4.824,6
ADRIANA,0.025,4.849,7
CHERI,0.025,4.874,8
SHELBY,0.025,4.899,9
ABIGAIL,0.025,4.924,0
CELESTE,0.025,4.949,1
JEWEL,0.025,4.974,2
CARA,0.025,4.999,3
ADELE,0.025,5.024,4
REBEKAH,0.025,5.048,5
LUCINDA,0.025,5.073,6
DORTHY,0.025,5.097,7
CHRIS,0.024,5.122,8
EFFIE,0.024,5.146,9
TRINA,0.024,5.171,0
REBA,0.024,5.195,1
SHAWN,0.024,5.219,2
SALLIE,0.024,5.244,3
AURORA,0.024,5.268,4
LENORA,0.024,5.292,5
ETTA,0.024,5.317,6
LOTTIE,0.024,5.341,7
KERRI,0.024,5.365,8
TRISHA,0.024,5.389,9
NIKKI,0.024,5.413,0
ESTELLA,0.024,5.438,1
FRANCISCA,0.024,5.461,2
JOSIE,0.024,5.485,3
TRACIE,0.024,5.509,4
MARISSA,0.024,5.533,5
KARIN,0.024,5.557,6
BRITTNEY,0.024,5.580,7
JANELLE,0.024,5.604,8
LOURDES,0.024,5.628,9
LAUREL,0.024,5.651,0
HELENE,0.024,5.675,1
FERN,0.024,5.698,2
ELVA,0.024,5.722,3
CORINNE,0.024,5.745,4
KELSEY,0.024,5.769,5
INA,0.023,5.792,6
BETTIE,0.023,5.816,7
ELISABETH,0.023,5.839,8
AIDA,0.023,5.862,9
CAITLIN,0.023,5.886,0
INGRID,0.023,5.909,1
IVA,0.023,5.932,2
EUGENIA,0.023,5.955,3
CHRISTA,0.023,5.978,4
GOLDIE,0.023,6.000,5
CASSIE,0.023,6.023,6
MAUDE,0.023,6.046,7
JENIFER,0.023,6.068,8
THERESE,0.022,6.091,9
FRANKIE,0.022,6.113,0
DENA,0.022,6.136,1
LORNA,0.022,6.158,2
JANETTE,0.022,6.180,3
LATONYA,0.022,6.202,4
CANDY,0.022,6.224,5
MORGAN,0.022,6.247,6
CONSUELO,0.022,6.269,7
TAMIKA,0.022,6.291,8
ROSETTA,0.022,6.313,9
DEBORA,0.022,6.334,0
CHERIE,0.022,6.356,1
POLLY,0.022,6.378,2
DINA,0.022,6.400,3
JEWELL,0.021,6.421,4
FAY,0.021,6.442,5
JILLIAN,0.021,6.464,6
DOROTHEA,0.021,6.485,7
NELL,0.021,6.506,8
TRUDY,0.021,6.527,9
ESPERANZA,0.021,6.548,0
PATRICA,0.021,6.570,1
KIMBERLEY,0.021,6.591,2
SHANNA,0.021,6.611,3
HELENA,0.021,6.632,4
CAROLINA,0.021,6.653,5
CLEO,0.021,6.674,6
STEFANIE,0.021,6.694,7
ROSARIO,0.020,6.715,8
OLA,0.020,6.735,9
JANINE,0.020,6.756,0
MOLLIE,0.020,6.776,1
LUPE,0.020,6.796,2
ALISA,0.020,6.816,3
LOU,0.020,6.836,4
MARIBEL,0.020,6.856,5
SUSANNE,0.020,6.875,6
BETTE,0.019,6.895,7
SUSANA,0.019,6.914,8
ELISE,0.019,6.933,9
CECILE,0.019,6.953,0
ISABELLE,0.019,6.972,1
LESLEY,0.019,6.991,2
JOCELYN,0.019,7.010,3
PAIGE,0.019,7.030,4
JONI,0.019,7.049,5
RACHELLE,0.019,7.068,6
LEOLA,0.019,7.087,7
DAPHNE,0.019,7.106,8
ALTA,0.019,7.125,9
ESTER,0.019,7.144,0
PETRA,0.019,7.162,1
GRACIELA,0.019,7.181,2
IMOGENE,0.019,7.200,3
JOLENE,0.019,7.219,4
KEISHA,0.019,7.237,5
LACEY,0.018,7.256,6
GLENNA,0.018,7.274,7
GABRIELA,0.018,7.293,8
KERI,0.018,7.311,9
URSULA,0.018,7.329,0
LIZZIE,0.018,7.347,1
KIRSTEN,0.018,7.366,2
SHANA,0.018,7.384,3
ADELINE,0.018,7.402,4
MAYRA,0.018,7.420,5
JAYNE,0.018,7.438,6
JACLYN,0.018,7.456,7
GRACIE,0.018,7.474,8
SONDRA,0.018,7.492,9
CARMELA,0.018,7.509,0
MARISA,0.018,7.527,1
ROSALIND,0.018,7.545,2
CHARITY,0.018,7.563,3
TONIA,0.018,7.580,4
BEATRIZ,0.018,7.598,5
MARISOL,0.018,7.616,6
CLARICE,0.018,7.633,7
JEANINE,0.017,7.651,8
SHEENA,0.017,7.668,9
ANGELINE,0.017,7.685,0
FRIEDA,0.017,7.703,1
LILY,0.017,7.720,2
ROBBIE,0.017,7.737,3
SHAUNA,0.017,7.754,4
MILLIE,0.017,7.771,5
CLAUDETTE,0.017,7.788,6
CATHLEEN,0.017,7.805,7
ANGELIA,0.017,7.822,8
GABRIELLE,0.017,7.839,9
AUTUMN,0.017,7.856,0
KATHARINE,0.017,7.873,1
SUMMER,0.017,7.890,2
JODIE,0.017,7.907,3
STACI,0.017,7.923,4
LEA,0.017,7.940,5
CHRISTI,0.017,7.957,6
JIMMIE,0.017,7.974,7
JUSTINE,0.017,7.990,8
ELMA,0.017,8.007,9
LUELLA,0.017,8.023,0
MARGRET,0.017,8.040,1
DOMINIQUE,0.016,8.056,2
SOCORRO,0.016,8.073,3
RENE,0.016,8.089,4
MARTINA,0.016,8.105,5
MARGO,0.016,8.122,6
MAVIS,0.016,8.138,7
CALLIE,0.016,8.154,8
BOBBI,0.016,8.170,9
MARITZA,0.016,8.186,0
LUCILE,0.016,8.202,1
LEANNE,0.016,8.219,2
JEANNINE,0.016,8.235,3
DEANA,0.016,8.251,4
AILEEN,0.016,8.267,5
LORIE,0.016,8.282,6
LADONNA,0.016,8.298,7
WILLA,0.016,8.314,8
MANUELA,0.016,8.330,9
GALE,0.016,8.346,0
SELMA,0.016,8.361,1
DOLLY,0.016,8.377,2
SYBIL,0.016,8.393,3
ABBY,0.016,8.408,4
LARA,0.016,8.424,5
DALE,0.016,8.440,6
IVY,0.016,8.455,7
DEE,0.016,8.471,8
WINNIE,0.016,8.486,9
MARCY,0.016,8.502,0
LUISA,0.016,8.517,1
JERI,0.015,8.533,2
MAGDALENA,0.015,8.548,3
OFELIA,0.015,8.563,4
MEAGAN,0.015,8.579,5
AUDRA,0.015,8.594,6
MATILDA,0.015,8.609,7
LEILA,0.015,8.624,8
CORNELIA,0.015,8.639,9
BIANCA,0.015,8.654,0
SIMONE,0.015,8.669,1
BETTYE,0.015,8.684,2
RANDI,0.015,8.699,3
VIRGIE,0.015,8.713,4
LATISHA,0.015,8.728,5
BARBRA,0.015,8.743,6
GEORGINA,0.015,8.758,7
ELIZA,0.015,8.772,8
LEANN,0.015,8.787,9
BRIDGETTE,0.015,8.801,0
RHODA,0.014,8.816,1
HALEY,0.014,8.830,2
